Job-type, DB-name, Tab-name, Load-to-bq, etl-Job, where_condition
ETL-Hourly, agent, agent_accreditation, agent_agent_accreditation, eq.agent.accreditation, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, agent, agent_additional, agent_agent_additional, eq.agent.additional, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, agent, agent_address, agent_agent_address, eq.agent.address, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, agent, agent_type, agent_agent_type, eq.agent.agent-type, tl.input.data.sql.where=WHERE (created_timestamp >= :dataStartedDate AND created_timestamp < :dataEndedDate)
ETL-Hourly, agent, agent_bank, agent_agent_bank, eq.agent.bank, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, agent, agent_contract, agent_agent_contract, eq.agent.contract, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, agent, edc, agent_edc, eq.agent.edc, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, agent, agent_profile, agent_agent_profile, eq.agent.profile.enhancement, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, agent, shop, agent_shop, eq.agent.shop, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, bulk_upload, file_upload, bulk_upload_file_upload, eq.bulk.upload-file.summary, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, customer, customer_additional, customer_customer_additional, eq.customer.additional, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, customer, customer_address, customer_customer_address, eq.customer.address, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, customer, customer_kyc, customer_customer_kyc, eq.customer.kyc, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, customer, customer_profile, customer_customer_profile, eq.customer.profile.enhancement, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, device_management, edc_device, device_management_edc_device, eq.edc.device, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, fraud_consultant, ticket, fraud_consultant_ticket, eq.fraud.consultant-ticket, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
ETL-Hourly, device_management, mobile_device, device_management_mobile_device, eq.mobile.device, tl.input.data.sql.where=WHERE (last_updated_timestamp >= :dataStartedDate AND last_updated_timestamp < :dataEndedDate)
